alpha_deg,beta_deg,deltaS_deg,deltaD_deg,CL,CD,CY,Cl,Cm,Cn,L_Nm,M_Nm,N_Nm,p_dot,q_dot,r_dot,V,qbar,alpha_eff_deg,beta_eff_deg
-10.0,-2.0,10.0,-10.0,-0.8427634835243225,0.0574150086688995,0.0163719318807125,0.0217560026794672,0.3452755212783813,-0.0061481092125177,5.193993542041748,8.088495739088994,-1.4677898332731103,6.4924919275521855,67.40413115907496,-8.154387962628391,20.22374841615669,250.5125000000001,-10.000000000000002,-2.0000000000000004
10.0,-6.0,-10.0,-5.0,0.8275466561317444,0.0529642478871345,0.0084689315408468,0.0320148468017578,-0.2632622718811035,0.0021318502258509,7.643173701882366,-6.167236404391236,0.50895453860742,9.553967127352957,-51.393636703260306,2.827525214485666,20.22374841615669,250.5125000000001,10.000000000000002,-6.000000000000001
2.5,0.0,0.0,5.0,0.1687948256731033,0.0207354995730519,-0.0042420849204063,-0.0129281803965568,0.0068382089957594,0.0001336900750175,-3.0864532643876075,0.1601932975741012,0.0319169562766867,-3.85806658048451,1.334944146450844,0.1773164237593706,20.223748416156695,250.5125000000003,2.4999999999999996,0.0
17.5,4.0,-10.0,-10.0,1.3098371028900146,0.106013864402771,-0.0009666276164352,0.005487369839102,-0.42033451795578,0.0031770572531968,1.3100459641875994,-9.846843311942104,0.7584856050498233,1.6375574552344994,-82.05702759951754,4.213808916943463,20.22374841615669,250.5125000000001,17.500000000000004,4.0
17.5,6.0,-20.0,5.0,1.486489176750183,0.1288081855821609,-0.0010178739903494,-0.0396679602563381,-0.5134359002113342,-0.0044844313524663,-9.47026585871126,-12.027855539189437,-1.0706060220530436,-11.837832323389074,-100.2321294932453,-5.94781123362802,20.22374841615669,250.5125000000001,17.5,6.000000000000001
15.0,2.0,20.0,0.0,0.8930019736289978,0.0691821129369735,-0.0018335713539272,-0.0058217938058078,-0.1063826233148574,-0.0001987131399801,-1.3898858111008954,-2.4921413258878813,-0.0474404595817394,-1.7373572638761192,-20.767844382399012,-0.2635581087874412,20.223748416156692,250.5125000000002,14.999999999999998,2.0
0.0,4.0,10.0,-10.0,-0.1336396485567093,0.026181802277565,0.0028787259943783,0.0202945489436388,0.160307228565216,0.0004248697077855,4.845088397207881,3.7553902761310582,0.1014327195560603,6.056360496509852,31.29491896775882,0.5635151086447798,20.22374841615669,250.5125000000001,5.106889127670221e-17,4.0
7.5,-4.0,-20.0,-5.0,0.7215460538864136,0.0472490863251686,0.0069038728252053,0.0244218707084655,-0.2823218405246734,0.0011519736144691,5.830438643219324,-6.613729799554613,0.2750203519602569,7.288048304024155,-55.114414996288446,1.5278908442236496,20.22374841615669,250.5125000000001,7.499999999999999,-4.0
5.0,-4.0,20.0,0.0,0.157688558101654,0.0289358386147022,0.0060263215564191,0.0049623236991465,0.1282579153776168,-0.0010048882104456,1.1846972822453656,3.0045964399540135,-0.2399054161017587,1.480871602806707,25.038303666283447,-1.3328078672319927,20.22374841615669,250.5125000000001,5.0,-4.0
20.0,-2.0,-20.0,-5.0,1.581727385520935,0.1439560504007339,-0.0006762142875231,0.0214495472609996,-0.5647406578063965,0.003406154923141,5.120830861934793,-13.229731396667551,0.8131800190797434,6.401038577418491,-110.24776163889626,4.51766677266524,20.223748416156695,250.5125000000003,19.999999999999993,-1.9999999999999991
15.0,-2.0,20.0,0.0,0.894705593585968,0.0694734418141841,0.001905390410684,0.0059103709645569,-0.1073795482516288,0.0001864390651462,1.411032581364417,-2.515495495547553,0.0445101664410022,1.763790726705521,-20.962462462896276,0.2472787024500123,20.223748416156692,250.5125000000002,14.999999999999998,-2.0
7.5,-2.0,20.0,-5.0,0.3259318768978119,0.0357630291330814,0.0062410905957221,0.015044436790049,0.0696134269237518,-2.0429881260497496e-05,3.5916849562129163,1.630778530060264,-0.0048773974196946,4.489606195266146,13.589821083835536,-0.027096652331637,20.223748416156695,250.5125000000003,7.4999999999999964,-1.9999999999999996
-5.0,4.0,-20.0,-10.0,-0.1916461437940597,0.0235186863067746,0.0013276917161419,0.0198426395654678,-0.0142257111147046,0.0005391353042796,4.737200269669485,-0.3332544494054283,0.1287123066664223,5.921500337086856,-2.777120411711903,0.7150683703690129,20.223748416156692,250.5125000000002,-4.999999999999999,3.999999999999999
15.0,2.0,20.0,-10.0,0.8843346834182739,0.0728280210244655,0.0010954597964882,0.0155911138281226,-0.1165548712015152,0.0024616753216832,3.722197764432794,-2.730438507754563,0.5876964583890953,4.652747205540992,-22.753654231288028,3.264980324383863,20.223748416156692,250.5125000000002,14.999999999999998,2.0
7.5,2.0,10.0,5.0,0.4377397298812866,0.0308933501440286,-0.0059291995130479,-0.0165918879210948,-0.0158379524946212,-0.0004437035240698,-3.9611209826601246,-0.3710231492644747,-0.1059290749570941,-4.951401228325156,-3.091859577203956,-0.5884948608727454,20.223748416156695,250.5125000000003,7.4999999999999964,1.9999999999999996
12.5,4.0,20.0,5.0,0.7084484696388245,0.0527384729433059,-0.0063520008698105,-0.0213640201836824,-0.0469343774020671,-0.0012095144484192,-5.100412263270308,-1.09949442760333,-0.2887575593114163,-6.375515329087885,-9.162453563361083,-1.6042086628412018,20.223748416156692,250.5125000000002,12.500000000000002,4.0
0.0,0.0,10.0,0.0,-0.119071327149868,0.0215241547051072,-6.740681419614702e-05,-0.0002011093893088,0.1580002754926681,1.8158205421059392e-05,-0.0480125363424369,3.7013471165450738,0.0043350611360726,-0.0600156704280462,30.844559304542283,0.0240836729781812,20.223748416156692,250.5125000000002,9.262451887273707e-17,0.0
17.5,2.0,0.0,-10.0,1.2668074369430542,0.1004595832276344,-0.0001653366052778,0.0156355910003185,-0.346955806016922,0.0039235115982592,3.732816173915334,-8.127858436733536,0.936692930393742,4.666020217394167,-67.73215363944614,5.2038496132985665,20.22374841615669,250.5125000000001,17.500000000000007,2.0
0.0,0.0,-20.0,0.0,0.1833866536617279,0.0254137731465697,-0.0001354654232272,4.39343239122536e-06,-0.116712749004364,2.692089583433699e-05,0.0010488810745072,-2.7341369858016353,0.0064270519345674,0.001311101343134,-22.784474881680296,0.0357058440809304,20.223748416156692,250.5125000000002,9.262451887273707e-17,0.0
