alpha_deg,beta_deg,deltaS_deg,deltaD_deg,CL,CD,CY,Cl,Cm,Cn,L_Nm,M_Nm,N_Nm,p_dot,q_dot,r_dot,V,qbar,alpha_eff_deg,beta_eff_deg
-10.0,-6.0,0.0,-10.0,-0.7316932082176208,0.047589615111351014,0.02444705367088318,0.021560395136475563,0.24373430013656616,-0.01011606678366661,5.147294507754901,5.709770101353234,-2.4150937246765496,6.434118134693626,47.58141751127695,-13.417187359314164,20.223748416156692,250.5125000000002,-9.999999999999998,-6.0
-10.0,-6.0,0.0,-5.0,-0.7363941073417664,0.0460681320476532,0.01786060631275177,0.009550690650939941,0.2500118315219879,-0.00806256104260683,2.280116724283995,5.856828849320608,-1.924843023996301,2.850145905354994,48.80690707767174,-10.693572355535006,20.223748416156692,250.5125000000002,-9.999999999999998,-6.0
-10.0,-6.0,0.0,0.0,-0.7406793236732483,0.04575241742014885,0.011123724281787872,-0.002735704183578491,0.25509023666381836,-0.0060179270803928375,-0.653117673857138,5.975796618014367,-1.436710357713747,-0.8163970923214225,49.798305150119724,-7.9817242095208165,20.223748416156692,250.5125000000002,-9.999999999999998,-6.0
-10.0,-6.0,0.0,5.0,-0.7434256672859192,0.046591736500263214,0.004409002605825663,-0.015041067264974117,0.25890684127807617,-0.004025748465210199,-3.5908805211456403,6.065205186701522,-0.9611007977085952,-4.4886006514320504,50.543376555846024,-5.339448876158862,20.223748416156692,250.5125000000002,-9.999999999999998,-6.0
-10.0,-6.0,0.0,10.0,-0.7442638278007507,0.04842370388388634,-0.0021638828329741955,-0.027067173272371292,0.26151925325393677,-0.002116522518917918,-6.461973977908357,6.12640408970298,-0.5052952261869654,-8.077467472385447,51.053367414191506,-2.8071957010386965,20.223748416156692,250.5125000000002,-9.999999999999998,-6.0
-10.0,-6.0,10.0,-10.0,-0.8366290926933289,0.05712332216382027,0.023181572556495667,0.018819252029061317,0.33519694209098816,-0.010452235117554665,4.492878353855506,7.852392859535095,-2.4953500190417532,5.616097942319382,65.43660716279246,-13.863055661343074,20.223748416156692,250.5125000000002,-9.999999999999998,-6.0
-10.0,-6.0,10.0,-5.0,-0.8388738036155701,0.0561277867603302,0.016644800081849098,0.006510883569717407,0.3416661024093628,-0.008369515649974346,1.5543980074066681,8.003940746500612,-1.9981248796687825,1.9429975092583351,66.69950622083844,-11.10069377593768,20.223748416156692,250.5125000000002,-9.999999999999998,-6.0
-10.0,-6.0,10.0,0.0,-0.8366221785545349,0.05527761218428612,0.010118618607521057,-0.005381944123655558,0.3424749970436096,-0.006305961403995752,-1.2848767962452325,8.022890079422487,-1.5054752148762183,-1.6060959953065406,66.85741732852073,-8.363751193756768,20.223748416156692,250.5125000000002,-9.999999999999998,-6.0
-10.0,-6.0,10.0,5.0,-0.8301348090171814,0.05481671554327011,0.0037595792673528194,-0.016721293330192566,0.338713139295578,-0.004323308821767569,-3.9920150245970145,7.934764022141176,-1.0321398848560355,-4.990018780746269,66.12303351784314,-5.734110471422419,20.223748416156692,250.5125000000002,-9.999999999999998,-6.0
-10.0,-6.0,10.0,10.0,-0.8212452530860901,0.05487641704559326,-0.002419585594907403,-0.027545325458049774,0.3319295346736908,-0.0024360253009945154,-6.576127271650644,7.775849897917583,-0.5815728131692657,-8.220159089563305,64.7987491493132,-3.230960073162587,20.223748416156692,250.5125000000002,-9.999999999999998,-6.0
-10.0,-6.0,20.0,-10.0,-0.9050828814506531,0.06659447414159775,0.020783113315701485,0.016014480963349342,0.40851855278015137,-0.010433418676257133,3.823271762201496,9.570040069063968,-2.4908578117174813,4.77908970275187,79.7503339088664,-13.838098953986007,20.223748416156692,250.5125000000002,-9.999999999999998,-6.0
-10.0,-6.0,20.0,-5.0,-0.9113700985908508,0.06690987584471703,0.014882487244904041,0.004018131643533707,0.41579777002334595,-0.008550651371479034,0.9592823697932538,9.740564517010602,-2.041368934267854,1.1991029622415672,81.17137097508837,-11.3409385237103,20.223748416156692,250.5125000000002,-9.999999999999998,-6.0
-10.0,-6.0,20.0,0.0,-0.9128836989402771,0.06615056482434273,0.009106287732720375,-0.007218251936137676,0.4163442850112915,-0.006656502839177847,-1.7232740082585616,9.75336729009738,-1.5891629206270632,-2.154092510323202,81.2780607508115,-8.828682892372573,20.223748416156692,250.5125000000002,-9.999999999999998,-6.0
-10.0,-6.0,20.0,5.0,-0.9079491496086121,0.06476931286334991,0.003484459826722741,-0.01768486760556698,0.41072389483451843,-0.004796252585947514,-4.22205721742574,9.621702867932353,-1.14504972831813,-5.277571521782175,80.18085723276961,-6.3613873795451665,20.223748416156692,250.5125000000002,-9.999999999999998,-6.0
-10.0,-6.0,20.0,10.0,-0.897707998752594,0.06316852209448814,-0.0020507669541984797,-0.027544891461730003,0.4002676010131836,-0.002986432518810034,-6.5760236600582305,9.376751567280083,-0.7129761585790844,-8.220029575072788,78.13959639400069,-3.960978658772691,20.223748416156692,250.5125000000002,-9.999999999999998,-6.0
-10.0,-4.0,-20.0,-10.0,-0.5313677787780762,0.037483355154395104,0.019384117797017097,0.025271369144320488,0.07171979546546936,-0.007389573380351067,6.033246551216559,1.6801227549608657,-1.764175017877273,7.541558189020698,14.001022958007216,-9.800972321540405,20.22374841615669,250.5125000000001,-10.0,-4.0
-10.0,-4.0,-20.0,-5.0,-0.5287262201309204,0.03823222977399826,0.01407094206660986,0.014030965976417065,0.07394294440746307,-0.005708746146410704,3.349730543051324,1.7322027016599493,-1.3628969923595846,4.187163178814155,14.435022513832912,-7.571649957553247,20.22374841615669,250.5125000000001,-10.0,-4.0
-10.0,-4.0,-20.0,0.0,-0.5343990921974182,0.04003659089386463,0.0082361726090312,0.0014168987981975079,0.08431343734264374,-0.003937730565667152,0.33826816975483104,1.9751440130158477,-0.9400875441001033,0.4228352121935388,16.459533441798733,-5.222708578333907,20.22374841615669,250.5125000000001,-10.0,-4.0
-10.0,-4.0,-20.0,5.0,-0.5496373772621155,0.04240972561120987,0.0019225346622988582,-0.012114135548472404,0.10252882540225983,-0.002094229683279991,-2.89210948965212,2.401861459304972,-0.4999730699966431,-3.6151368620651496,20.015512160874767,-2.777628166648017,20.22374841615669,250.5125000000001,-10.0,-4.0
-10.0,-4.0,-20.0,10.0,-0.5711353421211243,0.045249641065597535,-0.004526167642325163,-0.02557457983493805,0.12574762105941772,-0.0002560889988671988,-6.105634590147624,2.945789766311365,-0.06113828104826937,-7.63204323768453,24.54824805259471,-0.3396571169348298,20.22374841615669,250.5125000000001,-10.0,-4.0
-10.0,-4.0,-10.0,-10.0,-0.6267022490501404,0.040596220766305924,0.020436707884073257,0.024060619994997978,0.15304464101791382,-0.0077383737079799175,5.744194221371577,3.585255398878197,-1.847447054374865,7.180242776714472,29.87712832398498,-10.263594746527026,20.22374841615669,250.5125000000001,-10.0,-4.0
-10.0,-4.0,-10.0,-5.0,-0.6316953897476196,0.03979874600946903,0.014343666844069958,0.012372850440442562,0.15755274891853333,-0.005855971947312355,2.9538746722511844,3.6908632665037597,-1.3980454463458858,3.6923433403139807,30.757193887531333,-7.766919146366032,20.22374841615669,250.5125000000001,-10.0,-4.0
-10.0,-4.0,-10.0,0.0,-0.6410958766937256,0.04039101315021515,0.007903141900897026,-0.00023487881117034703,0.16635873913764954,-0.003920540679246187,-0.05607459450869594,3.897154213808864,-0.9359836579049068,-0.07009324313586993,32.47628511507387,-5.199909210582815,20.22374841615669,250.5125000000001,-10.0,-4.0
-10.0,-4.0,-10.0,5.0,-0.6529895663261414,0.04217100900888443,0.001209592679515481,-0.01341777853667736,0.17818184196949005,-0.0019556786864995956,-3.2033391471229273,4.174124664896966,-0.4668956249749988,-4.004173933903659,34.78437220747472,-2.5938645831944376,20.22374841615669,250.5125000000001,-10.0,-4.0
-10.0,-4.0,-10.0,10.0,-0.6647360920906067,0.04498972011089325,-0.00545158889144659,-0.02644382044672966,0.1912308782339096,-3.655991895357147e-05,-6.313155713887283,4.47981408600967,-0.008728257012104317,-7.891444642359104,37.331784050080586,-0.048490316733912874,20.22374841615669,250.5125000000001,-10.0,-4.0
-10.0,-4.0,0.0,-10.0,-0.7369781136512756,0.04764340085268021,0.020731275901198387,0.022295771166682243,0.24825400114059448,-0.008097362704575062,5.322857013796994,5.815649551415852,-1.9331515175269576,6.653571267246242,48.46374626179877,-10.739730652927541,20.22374841615669,250.5125000000001,-10.0,-4.0
