alpha_deg,beta_deg,deltaS_deg,deltaD_deg,CL,CD,CY,Cl,Cm,Cn
-4.0,0.0,-10.0,-2.0,-0.206445029185,0.011580789042,0.002149773919,0.004846731725,0.052266505751,-0.000699315215
-4.0,2.0,-10.0,-2.0,-0.206622159944,0.011582571134,-0.001738367563,0.002868430471,0.052482415907,0.000435581536
-2.0,-2.0,-10.0,-2.0,-0.058039104425,0.009677774676,0.005739867556,0.007481804419,0.009953443503,-0.001454579334
-2.0,0.0,-10.0,-2.0,-0.058907574108,0.009591794212,0.001974304712,0.004835719897,0.010718608539,-0.000576016643
-2.0,2.0,-10.0,-2.0,-0.059340612797,0.009591563654,-0.001806692248,0.00217615354,0.011093987778,0.000306411866
0.0,-2.0,-10.0,-2.0,0.089872490951,0.009861737154,0.005396077257,0.008134075843,-0.032742268586,-0.001089756808
0.0,0.0,-10.0,-2.0,0.089195614409,0.009768754748,0.001786620719,0.00481308245,-0.032029942254,-0.000450161484
0.0,2.0,-10.0,-2.0,0.088570668759,0.009762048256,-0.001838081238,0.001478454619,-0.031600634484,0.000192757929
2.0,-2.0,-10.0,-2.0,0.238167533658,0.012211633355,0.005011630921,0.008775886549,-0.07662289293,-0.000740476839
2.0,0.0,-10.0,-2.0,0.23768185524,0.012115219593,0.001597001954,0.004782251425,-0.075964889747,-0.000324273057
2.0,2.0,-10.0,-2.0,0.236864825044,0.012098780073,-0.001832765921,0.000775025331,-0.075480741346,9.4721767e-05
4.0,-2.0,-10.0,-2.0,0.3865899928,0.016720178032,0.00458727093,0.009406819237,-0.121555979594,-0.000407596275
4.0,0.0,-10.0,-2.0,0.386296709682,0.016623881902,0.00140666225,0.004744035665,-0.120954093014,-0.000198903984
4.0,2.0,-10.0,-2.0,0.385289011396,0.016594272666,-0.001788744042,6.7669078e-05,-0.120414775801,1.2014494e-05
6.0,-2.0,-10.0,-2.0,0.534887512772,0.023368219841,0.004123807382,0.010025798309,-0.167402645346,-9.1968726e-05
