alpha_deg,beta_deg,deltaS_deg,deltaD_deg,CL,CD,CY,Cl,Cm,Cn,source_file
6.0,-6.0,-20.0,0.0,0.619547636501,0.032149985433,0.008339861491,-0.018096258804,-0.24746465256,-1.0997617e-05,pitch_-20_cleaned.csv
6.0,-4.0,-20.0,0.0,0.622584820459,0.032067943364,0.005549582348,-0.012099872521,-0.247918434765,-1.0296857e-05,pitch_-20_cleaned.csv
6.0,-2.0,-20.0,0.0,0.624388966851,0.032018795609,0.002772726028,-0.006062148775,-0.248151639609,-5.823365e-06,pitch_-20_cleaned.csv
6.0,0.0,-20.0,0.0,0.62503562926,0.032003417611,-5.40665e-07,5.43591e-07,-0.248299382927,-3.5689e-08,pitch_-20_cleaned.csv
6.0,2.0,-20.0,0.0,0.624389580224,0.032018832862,-0.002773631268,0.006062852177,-0.248151398742,5.76478e-06,pitch_-20_cleaned.csv
6.0,4.0,-20.0,0.0,0.622585665591,0.03206789121,-0.005550547301,0.012100897485,-0.247919750989,1.025509e-05,pitch_-20_cleaned.csv
6.0,6.0,-20.0,0.0,0.619548257426,0.032149918377,-0.008340637707,0.018097137324,-0.24746558544,1.0987754e-05,pitch_-20_cleaned.csv
8.0,-6.0,-20.0,0.0,0.764653350949,0.041742928326,0.007306673558,-0.020044330455,-0.292806041397,-0.00054200631,pitch_-20_cleaned.csv
8.0,-4.0,-20.0,0.0,0.768631697677,0.041730336845,0.004860483865,-0.013403458288,-0.29356998716,-0.000364977497,pitch_-20_cleaned.csv
8.0,-2.0,-20.0,0.0,0.771039926786,0.041724730283,0.002455727723,-0.006726823574,-0.294050730924,-0.000179266128,pitch_-20_cleaned.csv
8.0,0.0,-20.0,0.0,0.771838172034,0.041721433401,-8.50854e-07,9.2236e-07,-0.294199875774,1.638e-08,pitch_-20_cleaned.csv
8.0,2.0,-20.0,0.0,0.771040197464,0.04172468558,-0.002457370459,0.006728602344,-0.294051430528,0.000179307222,pitch_-20_cleaned.csv
8.0,4.0,-20.0,0.0,0.768632112447,0.041730247438,-0.00486197922,0.013405137826,-0.293571231107,0.000365041462,pitch_-20_cleaned.csv
8.0,6.0,-20.0,0.0,0.764654102591,0.041742779315,-0.007307957524,0.020045882528,-0.292808046985,0.000542109993,pitch_-20_cleaned.csv
10.0,-6.0,-20.0,0.0,0.909027885659,0.053317341954,0.006165341232,-0.02197242026,-0.338615876283,-0.001022788324,pitch_-20_cleaned.csv
10.0,-4.0,-20.0,0.0,0.913949157673,0.053390599787,0.004100463385,-0.014697055239,-0.339703977657,-0.0006856799,pitch_-20_cleaned.csv
10.0,-2.0,-20.0,0.0,0.916923557173,0.053436048329,0.002068544282,-0.007372832912,-0.340376344991,-0.000340981271,pitch_-20_cleaned.csv
10.0,0.0,-20.0,0.0,0.917911123556,0.053450323641,-1.260439e-06,1.444369e-06,-0.340591732563,1.29544e-07,pitch_-20_cleaned.csv
10.0,2.0,-20.0,0.0,0.916923588725,0.053435973823,-0.002071004003,0.007375704069,-0.340377027057,0.000341250639,pitch_-20_cleaned.csv
10.0,4.0,-20.0,0.0,0.913948809834,0.0533904396,-0.004102752544,0.014699765556,-0.33970493386,0.000685964852,pitch_-20_cleaned.csv
10.0,6.0,-20.0,0.0,0.909027558041,0.053317096084,-0.006167348067,0.02197492521,-0.338617445337,0.001023112739,pitch_-20_cleaned.csv
12.0,-6.0,-20.0,0.0,1.052428789529,0.066816367209,0.004920894067,-0.023878238277,-0.384741504331,-0.001451692405,pitch_-20_cleaned.csv
12.0,-4.0,-20.0,0.0,1.058284034591,0.066989690065,0.003270238058,-0.015973493071,-0.386146566513,-0.000971709141,pitch_-20_cleaned.csv
12.0,-2.0,-20.0,0.0,1.061821481179,0.067095346749,0.001645941301,-0.008008965303,-0.387011780212,-0.000485015999,pitch_-20_cleaned.csv
12.0,0.0,-20.0,0.0,1.062998787848,0.067129969597,-2.555479e-06,3.488649e-06,-0.387295206872,4.47428e-07,pitch_-20_cleaned.csv
12.0,2.0,-20.0,0.0,1.061820649064,0.067095242441,-0.001650940764,0.008015832667,-0.387012183794,0.000485911138,pitch_-20_cleaned.csv
12.0,4.0,-20.0,0.0,1.058281714603,0.066989451647,-0.003275026974,0.015980121505,-0.386146981481,0.000972597015,pitch_-20_cleaned.csv
12.0,6.0,-20.0,0.0,1.052425675398,0.066815979779,-0.004925235197,0.0238844663,-0.384742313267,0.001452620458,pitch_-20_cleaned.csv
14.0,-6.0,-20.0,0.0,1.194614980907,0.08217202127,0.003580885914,-0.025761277147,-0.431029709234,-0.001827278174,pitch_-20_cleaned.csv
14.0,-4.0,-20.0,0.0,1.201398217498,0.082459695637,0.002375829912,-0.01723498849,-0.432752654476,-0.001222015415,pitch_-20_cleaned.csv
14.0,-2.0,-20.0,0.0,1.205504575987,0.08263527602,0.001190111014,-0.008641254686,-0.433829159198,-0.000611543747,pitch_-20_cleaned.csv
14.0,0.0,-20.0,0.0,1.206857453303,0.08269175142,-3.501417e-06,4.905745e-06,-0.43415727146,8.8766e-07,pitch_-20_cleaned.csv
14.0,2.0,-20.0,0.0,1.205502247308,0.082634948194,-0.001196983532,0.008650939884,-0.433828966509,0.000613323526,pitch_-20_cleaned.csv
14.0,4.0,-20.0,0.0,1.201392752298,0.082458995283,-0.002382368602,0.017244308036,-0.432751682581,0.001223777872,pitch_-20_cleaned.csv
14.0,6.0,-20.0,0.0,1.194607472628,0.082171082497,-0.003586892248,0.025770036223,-0.431028535964,0.00182905083,pitch_-20_cleaned.csv
16.0,-6.0,-20.0,0.0,1.335345281575,0.099305577576,0.002151373875,-0.027618645213,-0.477316628994,-0.002148158501,pitch_-20_cleaned.csv
16.0,-4.0,-20.0,0.0,1.343044210856,0.099719665945,0.001421571787,-0.018479233684,-0.479358266995,-0.001435878284,pitch_-20_cleaned.csv
16.0,-2.0,-20.0,0.0,1.34770628,0.099972367287,0.000706312354,-0.00926132984,-0.480629026352,-0.000718913701,pitch_-20_cleaned.csv
16.0,0.0,-20.0,0.0,1.349261777652,0.100057303905,-3.834904e-06,5.904939e-06,-0.481056170955,1.321808e-06,pitch_-20_cleaned.csv
16.0,2.0,-20.0,0.0,1.347702982735,0.09997202456,-0.000713820463,0.00927295079,-0.480627745008,0.000721550382,pitch_-20_cleaned.csv
16.0,4.0,-20.0,0.0,1.343037926336,0.099719107151,-0.001429049374,0.018490805091,-0.479357792293,0.001438489397,pitch_-20_cleaned.csv
16.0,6.0,-20.0,0.0,1.33533137096,0.099303215742,-0.002158759302,0.027629783297,-0.477317552007,0.00215100024,pitch_-20_cleaned.csv
18.0,-6.0,-20.0,0.0,1.474376859914,0.118126370013,0.000640266949,-0.029448645432,-0.523443207958,-0.002413293294,pitch_-20_cleaned.csv
18.0,-4.0,-20.0,0.0,1.483000795242,0.118683740497,0.000405154771,-0.019708518861,-0.525815103255,-0.001613731121,pitch_-20_cleaned.csv
18.0,-2.0,-20.0,0.0,1.488203711424,0.119019828737,0.000193542044,-0.009872485704,-0.527260461476,-0.000807303615,pitch_-20_cleaned.csv
18.0,0.0,-20.0,0.0,1.489936031255,0.119132399559,-4.700403e-06,7.727766e-06,-0.527741509144,2.146197e-06,pitch_-20_cleaned.csv
18.0,2.0,-20.0,0.0,1.48819917549,0.119019448757,-0.000202852091,0.009887818332,-0.527258022224,0.000811595574,pitch_-20_cleaned.csv
18.0,4.0,-20.0,0.0,1.482991330081,0.118682660162,-0.00041438137,0.019723560457,-0.525811469868,0.001617955478,pitch_-20_cleaned.csv
18.0,6.0,-20.0,0.0,1.474363053287,0.11812479049,-0.000648744877,0.029462948176,-0.523438173332,0.002417502869,pitch_-20_cleaned.csv
20.0,-6.0,-20.0,0.0,1.611481527447,0.138539507985,-0.000946800155,-0.031246305076,-0.569219728126,-0.002620245309,pitch_-20_cleaned.csv
20.0,-4.0,-20.0,0.0,1.620997892044,0.139247983694,-0.000662373227,-0.020908242833,-0.571890476304,-0.001751422014,pitch_-20_cleaned.csv
20.0,-2.0,-20.0,0.0,1.626737646662,0.139675453305,-0.000329269658,-0.010479884933,-0.573517483474,-0.000874769695,pitch_-20_cleaned.csv
20.0,0.0,-20.0,0.0,1.628668699542,0.139820113778,-5.608622e-06,1.0115018e-05,-0.574092304425,3.328417e-06,pitch_-20_cleaned.csv
20.0,2.0,-20.0,0.0,1.626730647454,0.139674633741,0.000317940635,0.010499900853,-0.573514536334,0.000881355738,pitch_-20_cleaned.csv
20.0,4.0,-20.0,0.0,1.620991614312,0.139246821404,0.000648957533,0.020931113967,-0.571899630803,0.001758357403,pitch_-20_cleaned.csv
20.0,6.0,-20.0,0.0,1.611469800365,0.13853777945,0.000933757311,0.031268603438,-0.569226718863,0.002627169397,pitch_-20_cleaned.csv
-10.0,-6.0,-15.0,0.0,-0.584123274881,0.029578654096,0.012416102426,-0.0010463147,0.120908794347,0.005918083467,pitch_-15_cleaned.csv
-10.0,-4.0,-15.0,0.0,-0.588806952396,0.029528059065,0.008277698024,-0.000690235084,0.122981457402,0.003959197595,pitch_-15_cleaned.csv
-10.0,-2.0,-15.0,0.0,-0.591628756264,0.02949805744,0.004115978238,-0.000333804206,0.124229894746,0.001978253648,pitch_-15_cleaned.csv
-10.0,0.0,-15.0,0.0,-0.592622287017,0.0294908043,1.490077e-06,-4.60561e-07,0.124730320278,4.38851e-07,pitch_-15_cleaned.csv
-10.0,2.0,-15.0,0.0,-0.591628918388,0.029497887939,-0.004113699786,0.000333285347,0.124231305305,-0.001977574739,pitch_-15_cleaned.csv
-10.0,4.0,-15.0,0.0,-0.588807012199,0.029527796432,-0.008274780914,0.000689288771,0.122981741242,-0.003958335803,pitch_-15_cleaned.csv
-10.0,6.0,-15.0,0.0,-0.584123043519,0.029578331858,-0.012412830863,0.001045564686,0.120908923798,-0.005917196541,pitch_-15_cleaned.csv
-8.0,-6.0,-15.0,0.0,-0.441649289935,0.02200836502,0.012271623995,-0.003047463592,0.084167611209,0.005012057947,pitch_-15_cleaned.csv
-8.0,-4.0,-15.0,0.0,-0.44545785343,0.021897397935,0.008216013042,-0.002041355799,0.086044022939,0.003360938373,pitch_-15_cleaned.csv
-8.0,-2.0,-15.0,0.0,-0.447725437583,0.021828418598,0.00408733411,-0.001010778767,0.087134349591,0.001678971356,pitch_-15_cleaned.csv
-8.0,0.0,-15.0,0.0,-0.448528543738,0.021807327867,1.047779e-06,-3.79672e-07,0.087571889162,3.04622e-07,pitch_-15_cleaned.csv
-8.0,2.0,-15.0,0.0,-0.447725770646,0.021828331053,-0.004085248677,0.001010064499,0.087134855014,-0.001678371625,pitch_-15_cleaned.csv
-8.0,4.0,-15.0,0.0,-0.445458367023,0.021897250786,-0.008213966216,0.002040589863,0.086044632882,-0.003360344232,pitch_-15_cleaned.csv
-8.0,6.0,-15.0,0.0,-0.441650254321,0.022008158267,-0.012269654089,0.003046705956,0.084168673345,-0.005011488493,pitch_-15_cleaned.csv
-6.0,-6.0,-15.0,0.0,-0.297964110176,0.016490723938,0.012075583585,-0.005067863145,0.045969143825,0.004162087885,pitch_-15_cleaned.csv
-6.0,-4.0,-15.0,0.0,-0.300843966876,0.01633111015,0.008083769693,-0.003394728689,0.047572141501,0.00279096983,pitch_-15_cleaned.csv
-6.0,-2.0,-15.0,0.0,-0.30255057539,0.016232658178,0.004022024306,-0.001690627813,0.048494495687,0.001393585682,pitch_-15_cleaned.csv
-6.0,0.0,-15.0,0.0,-0.303167443478,0.016201829538,7.25228e-07,-2.74339e-07,0.048879293687,2.00329e-07,pitch_-15_cleaned.csv
-6.0,2.0,-15.0,0.0,-0.302551066979,0.016232619062,-0.004020605278,0.001690090165,0.048495044826,-0.001393192983,pitch_-15_cleaned.csv
-6.0,4.0,-15.0,0.0,-0.300844899614,0.016331039369,-0.008082455393,0.003394236806,0.047573159805,-0.002790604119,pitch_-15_cleaned.csv
-6.0,6.0,-15.0,0.0,-0.297964969226,0.016490649432,-0.012074686293,0.005067692516,0.045969264616,-0.004161830696,pitch_-15_cleaned.csv
-4.0,-6.0,-15.0,0.0,-0.153254962241,0.013056112453,0.011772098912,-0.007087170373,0.006338602486,0.00335553757,pitch_-15_cleaned.csv
-4.0,-4.0,-15.0,0.0,-0.15519773015,0.012864033692,0.007878884727,-0.004745551013,0.007658284812,0.002250038472,pitch_-15_cleaned.csv
-4.0,-2.0,-15.0,0.0,-0.156343895253,0.012746472843,0.003922019994,-0.002367876719,0.008415172215,0.001123121324,pitch_-15_cleaned.csv
-4.0,0.0,-15.0,0.0,-0.156770369652,0.012708756141,4.30692e-07,-9.3595e-08,0.008738125581,1.08092e-07,pitch_-15_cleaned.csv
-4.0,2.0,-15.0,0.0,-0.156343802388,0.012746457942,-0.003921480934,0.002367905579,0.008414746496,-0.001122977019,pitch_-15_cleaned.csv
-4.0,4.0,-15.0,0.0,-0.155198079242,0.012864015065,-0.007878407134,0.004745602696,0.00765821975,-0.002249911099,pitch_-15_cleaned.csv
-4.0,6.0,-15.0,0.0,-0.153255745966,0.013056091964,-0.011771689978,0.007087228911,0.006338884671,-0.003355431198,pitch_-15_cleaned.csv
-2.0,-6.0,-15.0,0.0,-0.007756921975,0.011728310026,0.011357671473,-0.009101676356,-0.034622695243,0.002593248937,pitch_-15_cleaned.csv
-2.0,-4.0,-15.0,0.0,-0.008755631978,0.011520380154,0.007599908733,-0.00609320957,-0.033597896608,0.001738920374,pitch_-15_cleaned.csv
-2.0,-2.0,-15.0,0.0,-0.009337296549,0.011393575929,0.003784515633,-0.003044117094,-0.033014055618,0.00086751892,pitch_-15_cleaned.csv
-2.0,0.0,-15.0,0.0,-0.009492965421,0.011351489462,1.6155e-07,4.102e-09,-0.032884735456,3.3067e-08,pitch_-15_cleaned.csv
-2.0,2.0,-15.0,0.0,-0.009337781737,0.011393592693,-0.0037840668,0.003044050489,-0.03301372793,-0.000867437915,pitch_-15_cleaned.csv
-2.0,4.0,-15.0,0.0,-0.008756030113,0.011520342901,-0.007599244334,0.006093005151,-0.033597379704,-0.001738788907,pitch_-15_cleaned.csv
-2.0,6.0,-15.0,0.0,-0.007757655173,0.011728269048,-0.011356849689,0.009101369462,-0.034621866248,-0.002593089034,pitch_-15_cleaned.csv
0.0,-6.0,-15.0,0.0,0.138293395856,0.012520060875,0.010826753307,-0.011108118273,-0.076802938937,0.001875507664,pitch_-15_cleaned.csv
0.0,-4.0,-15.0,0.0,0.138242117642,0.012313231826,0.007242999333,-0.007435041965,-0.076079741093,0.001257793797,pitch_-15_cleaned.csv
0.0,-2.0,-15.0,0.0,0.138228131144,0.01218750421,0.003608064903,-0.003717531241,-0.075673622398,0.000626980864,pitch_-15_cleaned.csv
0.0,0.0,-15.0,0.0,0.138260824345,0.012145970017,-1.00876e-07,7.2205e-08,-0.075598581898,-2.1861e-08,pitch_-15_cleaned.csv
0.0,2.0,-15.0,0.0,0.138228529802,0.012187526561,-0.003608330699,0.003717671187,-0.075673843033,-0.000627035161,pitch_-15_cleaned.csv
0.0,4.0,-15.0,0.0,0.13824281421,0.012313268147,-0.007243293501,0.007435221237,-0.076080058483,-0.001257852289,pitch_-15_cleaned.csv
0.0,6.0,-15.0,0.0,0.138294346033,0.012520101853,-0.010827152032,0.011108367278,-0.076803444859,-0.001875578954,pitch_-15_cleaned.csv
2.0,-6.0,-15.0,0.0,0.28465391844,0.015433222987,0.01018105145,-0.013105420547,-0.120080784494,0.001203885217,pitch_-15_cleaned.csv
2.0,-4.0,-15.0,0.0,0.285555037293,0.015244259499,0.006808641431,-0.008770850342,-0.119667581894,0.000807566099,pitch_-15_cleaned.csv
2.0,-2.0,-15.0,0.0,0.286113101792,0.015129618347,0.003392849676,-0.004387952086,-0.119444454816,0.000401920593,pitch_-15_cleaned.csv
2.0,0.0,-15.0,0.0,0.286332542057,0.015091970563,-3.13611e-07,2.24302e-07,-0.119423491649,-5.4138e-08,pitch_-15_cleaned.csv
2.0,2.0,-15.0,0.0,0.286113332959,0.015129633248,-0.003393413802,0.004388371269,-0.119444744029,-0.000402019601,pitch_-15_cleaned.csv
