alpha_deg,beta_deg,deltaS_deg,deltaD_deg,CL,CD,CY,Cl,Cm,Cn
2,6,-18,0,0.311362249,0.017573981,-0.010132344,-0.01375615,-0.143874206,0.001198901
4,-6,-18,0,0.457433903,0.022895513,0.009339514,0.015737628,-0.187949065,-0.000571681
4,-4,-18,0,0.459415944,0.022751988,0.006244702,0.010533058,-0.187967242,-0.000384151
4,-2,-18,0,0.460627316,0.022664889,0.003109569,0.005271449,-0.188006106,-0.000189699
4,0,-18,0,0.461077544,0.022637341,-5.52E-08,-4.59E-07,-0.188078229,2.42E-08
4,2,-18,0,0.460627073,0.022664908,-0.003109658,-0.005272371,-0.188005814,0.000189747
4,4,-18,0,0.459415528,0.022751996,-0.006244863,-0.010534065,-0.187966794,0.000384201
4,6,-18,0,0.457433343,0.022895511,-0.009339648,-0.015738575,-0.187948549,0.000571724
6,-6,-18,0,0.603280916,0.030290369,0.008433635,0.017705325,-0.232809572,7.35E-06
6,-4,-18,0,0.606239069,0.03019908,0.005616057,0.011839986,-0.233186083,7.31E-06
6,-2,-18,0,0.607999053,0.03014447,0.002806911,0.005932406,-0.233377051,4.22E-06
6,0,-18,0,0.608639434,0.030128181,-2.74E-07,-7.83E-07,-0.233504345,4.18E-08
6,2,-18,0,0.607998997,0.030144854,-0.002807328,-0.00593331,-0.233376117,-4.16E-06
6,4,-18,0,0.606239103,0.030199427,-0.005616548,-0.011840972,-0.233185213,-7.23E-06
6,6,-18,0,0.603281333,0.030290664,-0.008434092,-0.017706251,-0.232809081,-7.28E-06
8,-6,-18,0,0.748655917,0.039723615,0.007417142,0.019656434,-0.278314253,0.000537021
8,-4,-18,0,0.752559208,0.039701348,0.004938643,0.013147487,-0.279006278,0.000361045
8,-2,-18,0,0.754920284,0.039689388,0.00249129,0.0065987,-0.279438917,0.000177949
8,0,-18,0,0.755723522,0.039686672,-3.63E-07,-4.72E-07,-0.279578662,2.04E-10
8,2,-18,0,0.754919583,0.039689759,-0.002492208,-0.006600291,-0.279437693,-0.000177915
8,4,-18,0,0.752558728,0.039701707,-0.004939576,-0.013149126,-0.279005285,-0.000360991
8,6,-18,0,0.748655518,0.039723914,-0.007417964,-0.019657928,-0.278313534,-0.000536972
10,-6,-18,0,0.893311897,0.051148826,0.006293682,0.02158888,-0.324315757,0.001016069
10,-4,-18,0,0.898156576,0.051211188,0.004189421,0.014442438,-0.325325101,0.00068086
10,-2,-18,0,0.901085315,0.051249839,0.00210975,0.00724519,-0.325950947,0.000339202
10,0,-18,0,0.902081676,0.051264893,-6.27E-07,-8.83E-07,-0.326155033,-4.84E-08
10,2,-18,0,0.901084065,0.051250118,-0.002111195,-0.007247702,-0.325949556,-0.0003393
10,4,-18,0,0.898155398,0.051211424,-0.004190847,-0.014444923,-0.325324094,-0.000680931
