t,x,y,z,vx,vy,vz,V,alpha_deg,beta_deg,qbar,yaw_deg,pitch_deg,roll_deg,p,q,r,deltaS_deg,deltaD_deg,throttle,CL,CD,CY,Cl,Cm,Cn,T_N,Ftx_b,Fty_b,Ftz_b,Lthr_b,Mthr_b,Nthr_b,Ftotx_b,Ftoty_b,Ftotz_b,Ltot_b,Mtot_b,Ntot_b,mpc_alpha_cmd_deg,mpc_beta_cmd_deg,mpc_V_ctrl,mpc_alpha_ctrl_deg,mpc_beta_ctrl_deg,mpc_control_update,mpc_horizon,mpc_num_candidates,mpc_pred_dt,mpc_control_period_s,mpc_Q_heading,mpc_Q_pitch,mpc_Q_roll,mpc_Q_alpha,mpc_Q_beta,mpc_p_deg_s,mpc_q_deg_s,mpc_r_deg_s,mpc_V,mpc_alpha_deg,mpc_beta_deg,mpc_yaw_cmd_deg,mpc_pitch_cmd_deg,mpc_roll_cmd_deg,mpc_heading_err_deg,mpc_pitch_err_deg,mpc_roll_err_deg,mpc_best_cost,mpc_reused,mpc_deltaS_cmd_deg,mpc_deltaD_cmd_deg,psi_cmd_deg,theta_cmd_deg,roll_cmd_deg,hdg_err_deg,pitch_err_deg,roll_err_deg,p_deg_s,q_deg_s,r_deg_s,altitude_m,LD
7.806000000000074,103.57229313256643,115.71958399121851,11.003825079019196,13.008642934962664,20.48015996327488,2.883374121378771,20.23957740013992,5.612026462034746,-2.270046826506987,250.90480216845594,52.20203940184785,3.119951694297613,-0.28980842161606085,0.02492700492689653,-0.011481979295820392,-0.03017558265230969,6.6147960972133815,1.7458622194952742,1.0,0.3340756893157959,0.02562176076054573,0.0021130498498678207,-0.0006872737443351843,-0.0006418058587712588,-0.00031773162343325524,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.84350651276385,-0.2864264920401304,-40.048984474579115,-0.16433558956366767,-0.015058621631647569,-0.07597353178453463,,0.0,20.23957740013992,5.612026462034746,-2.2700468265069906,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,1.4282121782129804,-0.6578689541071014,-1.7289335303255278,20.23957740013992,5.612026462034746,-2.2700468265069906,50.0,3.0,-0.990917730831535,-2.2020394018478555,-0.1199516942976131,-0.7011093092154681,,1,6.6147960972133815,1.7458622194952742,50.0,3.0,0.0,-2.2020394018478555,-0.1199516942976131,0.28980842161607256,1.4282121782129804,-0.6578689541071014,-1.7289335303255278,-11.003825079019196,13.03874829048557
7.812000000000074,103.65035404326336,115.84247305108626,11.021120802333542,13.011658523147133,20.48286032761355,2.881881886348456,20.24351592754694,5.603532456287459,-2.2600743072318688,251.0024614791686,52.1912343819634,3.115840075701792,-0.2820387687208627,0.02369379325419425,-0.012082196590563301,-0.03270917415590433,6.6147960972133815,1.7458622194952742,1.0,0.33344927430152893,0.025599671651721,0.002097940072417259,-0.00068785654511473,-0.00042307203906966946,-0.00031624623469261843,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.83337665294174,-0.2841645994438481,-39.98987704139615,-0.16453896272784138,-0.009930357289834928,-0.07564778992432186,,0.0,20.24351592754694,5.603532456287459,-2.2600743072318696,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,1.357554354120871,-0.6922588718866299,-1.8740976304917052,20.24351592754694,5.603532456287459,-2.2600743072318696,50.0,3.0,-0.9860554718835289,-2.1912343819633975,-0.11584007570179189,-0.7040167031626652,,1,6.6147960972133815,1.7458622194952742,50.0,3.0,0.0,-2.1912343819633975,-0.11584007570179189,0.28203876872086653,1.357554354120871,-0.6922588718866299,-1.8740976304917052,-11.021120802333542,13.025529344205943
7.818000000000074,103.72843300998044,115.96537831918431,11.038407840239566,13.01466168068195,20.485562709108482,2.880478845277899,20.24745203914123,5.595109799387575,-2.249249484996624,251.1000798723612,52.179559319294,3.1115629155895235,-0.27473995499530834,0.022457651603797715,-0.01243057045816565,-0.03523142119655302,6.6147960972133815,1.7458622194952742,1.0,0.3328281342983246,0.025577787433862686,0.0020815152674913406,-0.0006899745194330361,-0.00021355166051062355,-0.00031465933571322264,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.823358958031905,-0.28173935306157677,-39.93133218172981,-0.1651097820633715,-0.00501443924729921,-0.07529746806665613,,0.0,20.24745203914123,5.595109799387575,-2.2492494849966205,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,1.2867286546728136,-0.7122192241928937,-2.018611740810237,20.24745203914123,5.595109799387575,-2.2492494849966205,50.0,3.0,-0.9808016936823066,-2.1795593192940146,-0.11156291558952347,-0.7060617386869978,,1,6.6147960972133815,1.7458622194952742,50.0,3.0,0.0,-2.1795593192940146,-0.11156291558952347,0.27473995499531156,1.2867286546728136,-0.7122192241928937,-2.018611740810237,-11.038407840239566,13.012389564927345
7.8240000000000745,103.80652995944695,116.0882998076594,11.055686724288675,13.017652846819137,20.488267121716248,2.87916361549291,20.251385946071483,5.586839036211962,-2.237577227980793,251.19766255125424,52.16701789025268,3.1072049673206164,-0.267913100163638,0.021215894144311978,-0.012538838518439814,-0.03774132706342987,6.6147960972133815,1.7458622194952742,1.0,0.33221834897994995,0.025556314860582352,0.0020637805573642254,-0.0006935401905090753,-1.4790467395023766e-05,-0.00031296608709446177,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.813554815206653,-0.27915563928215087,-39.87407706165675,-0.1660275380283934,-0.00034743219703943696,-0.07492138110775182,,0.0,20.251385946071483,5.586839036211962,-2.237577227980793,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,1.2155811930653935,-0.7184225271026714,-2.1624187539574047,20.251385946071483,5.586839036211962,-2.237577227980793,50.0,3.0,-0.975158050613706,-2.16701789025268,-0.10720496732061635,-0.7072449504500753,,1,6.6147960972133815,1.7458622194952742,50.0,3.0,0.0,-2.16701789025268,-0.10720496732061635,0.26791310016363923,1.2155811930653935,-0.7184225271026714,-2.1624187539574047,-11.055686724288675,12.999462199159167
7.830000000000075,103.88464482105528,116.21123752872845,11.07295797456963,13.02063247042515,20.490973575479302,2.8779337747749554,20.255317819253747,5.578793438395568,-2.225062851821552,251.2952137248743,52.15361416539021,3.102846636645541,-0.26156021159728177,0.019966002528306045,-0.01242038670612892,-0.0402379114473548,6.6147960972133815,1.7458622194952742,1.0,0.3316252529621124,0.025535401080846787,0.0020447387360036373,-0.0006984602918974111,0.00017196152210351753,-0.00031116464222980233,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.804058345937019,-0.27641768520703397,-39.81875050937095,-0.1672703010991552,0.00404099271855961,-0.07451905856494238,,0.0,20.255317819253747,5.578793438395568,-2.2250628518215527,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,1.1439676786194672,-0.7116357381815814,-2.305462502354572,20.255317819253747,5.578793438395568,-2.2250628518215527,50.0,3.0,-0.9691263744255878,-2.153614165390195,-0.10284663664554117,-0.7075661628283001,,1,6.6147960972133815,1.7458622194952742,50.0,3.0,0.0,-2.153614165390195,-0.10284663664554117,0.2615602115972706,1.1439676786194672,-0.7116357381815814,-2.305462502354572,-11.07295797456963,12.986882481781457
7.836000000000075,103.96277752691529,116.33419149464875,11.090222093763709,13.023601006811639,20.493682071136625,2.8767859551366577,20.259247787546567,5.571038747058372,-2.2117121199473333,251.39273656179142,52.13935260372996,3.098563452662092,-0.25568413398875484,0.018705609235417073,-0.012090060418330115,-0.04272017995570413,6.6147960972133815,1.7458622194952742,1.0,0.3310535252094269,0.02551524353504181,0.002024400979280472,-0.000704671823472244,0.0003456250154972814,-0.0003092521687943297,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.794944261675668,-0.2735298641484897,-39.765914762912935,-0.1688233573108833,0.00812513272694426,-0.07408979279783443,,0.0,20.259247787546567,5.571038747058372,-2.211712119947336,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,1.071752462410333,-0.6927094360284861,-2.4476860115012227,20.259247787546567,5.571038747058372,-2.211712119947336,50.0,3.0,-0.962708671678476,-2.1393526037299466,-0.09856345266209221,-0.7070245376897333,,1,6.6147960972133815,1.7458622194952742,50.0,3.0,0.0,-2.1393526037299466,-0.09856345266209221,0.2556841339887512,1.071752462410333,-0.6927094360284861,-2.4476860115012227,-11.090222093763709,12.974735073751841
7.842000000000075,104.04092801187647,116.45716171764684,11.107479561853687,13.026558914054478,20.496392598896556,2.8757159771414096,20.263175940436604,5.563633098232042,-2.1975312369970936,251.49023325576692,52.124238048270804,3.0944256076515257,-0.2502885051542853,0.01743246522195012,-0.011563880991387448,-0.04518715920261444,6.6147960972133815,1.7458622194952742,1.0,0.3305077850818634,0.025495972608327866,0.00200277054682374,-0.0007120910162813814,0.0005052604307541601,-0.0003072272834266558,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.786288902864367,-0.2704955645046263,-39.716125040068015,-0.17066699080209552,0.011882531713557581,-0.07363322209644453,,0.0,20.263175940436604,5.563633098232042,-2.1975312369970954,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,0.9988066837263297,-0.6625615755980591,-2.5890335104955455,20.263175940436604,5.563633098232042,-2.1975312369970954,50.0,3.0,-0.9559071217218588,-2.124238048270797,-0.09442560765152574,-0.7056186165675626,,1,6.6147960972133815,1.7458622194952742,50.0,3.0,0.0,-2.124238048270797,-0.09442560765152574,0.2502885051542876,0.9988066837263297,-0.6625615755980591,-2.5890335104955455,-11.107479561853687,12.963136969087742
7.848000000000075,104.11909621354502,116.58014820985652,11.124730831468847,13.029506652294543,20.49910513614647,2.874718925538128,20.26710232919853,5.556626888367671,-2.1825268457273723,251.58770505360025,52.10827571650454,3.090497603700071,-0.2453777198597338,0.016144453110865896,-0.010858746464591503,-0.047637877854928824,6.6147960972133815,1.7458622194952742,1.0,0.3299914002418518,0.025477720548510552,0.001979859545826912,-0.0007206533168883376,0.0006502711065580579,-0.0003050886019543388,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.778148146916743,-0.26731834025833645,-39.669788082779505,-0.1727860609708473,0.01529876738913687,-0.07314898376712937,,0.0,20.26710232919853,5.556626888367671,-2.182526845727372,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,0.9250090257994684,-0.622160343223697,-2.729449346047149,20.26710232919853,5.556626888367671,-2.182526845727372,50.0,3.0,-0.948724072427035,-2.1082757165045223,-0.09049760370007087,-0.7033463525673085,,1,6.6147960972133815,1.7458622194952742,50.0,3.0,0.0,-2.1082757165045223,-0.09049760370007087,0.24537771985973222,0.9250090257994684,-0.622160343223697,-2.729449346047149,-11.124730831468847,12.952155575045875
7.854000000000076,104.19728207228465,116.70315098322686,11.141976323801416,13.032444680893777,20.501819644840584,2.873789247330843,20.27102696733624,5.550062783202669,-2.166706021222584,251.6851522651648,52.09147119318892,3.086837979008494,-0.24095688667291834,0.014839568097944598,-0.009992300727148953,-0.050071390714816186,6.6147960972133815,1.7458622194952742,1.0,0.3295077979564667,0.025460593526363373,0.0019556814804673195,-0.0007302873521260378,0.0007801459800541206,-0.0003028365660484825,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.770576124457354,-0.26400174789220254,-39.62731805104335,-0.17516376669655903,0.018361410548306503,-0.07263715227721547,,0.0,20.27102696733624,5.550062783202669,-2.166706021222589,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,0.8502446218092041,-0.5725166592911386,-2.8688793623095057,20.27102696733624,5.550062783202669,-2.166706021222589,50.0,3.0,-0.941162036935009,-2.0914711931889087,-0.08683797900849388,-0.700205150262093,,1,6.6147960972133815,1.7458622194952742,50.0,3.0,0.0,-2.0914711931889087,-0.08683797900849388,0.2409568866729046,0.8502446218092041,-0.5725166592911386,-2.8688793623095057,-11.141976323801416,12.941874179613103
7.860000000000076,104.27548553121711,116.82617004943663,11.159216425091744,13.035373459301985,20.504536072224358,2.8729208609670285,20.274949836384117,5.543975824373593,-2.1500762630442334,251.78257440658408,52.073830418776225,3.0834991017230493,-0.23703179260025792,0.013515923324073177,-0.008982618689136775,-0.05248676165222931,6.6147960972133815,1.7458622194952742,1.0,0.3290593922138214,0.025444662322402,0.0019302390282973647,-0.0007409522446268247,0.0008946325368101838,-0.00030046989743776406,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.763614134602566,-0.2605474560047474,-39.58900832360919,-0.17779059707224845,0.021064101029460235,-0.07209738934606007,,0.0,20.274949836384117,5.543975824373593,-2.1500762630442307,1.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,0.7744053626918235,-0.5146661398628732,-3.007269922981835,20.274949836384117,5.543975824373593,-2.1500762630442307,50.0,3.0,-0.9332236884493014,-2.0738304187762253,-0.08349910172304931,-0.6961918958490401,41.44485948357442,0,6.6147960972133815,1.7458622194952742,50.0,3.0,0.0,-2.0738304187762253,-0.08349910172304931,0.23703179260024854,0.7744053626918235,-0.5146661398628732,-3.007269922981835,-11.159216425091744,12.932354457858565
7.866000000000076,104.35370653620544,116.94920541978985,11.17645148377847,13.0382934416608,20.507254345537035,2.8721072698194403,20.27887088321498,5.538393637504779,-2.1326454860827395,251.87997013258894,52.05535967933906,3.080527052498423,-0.23360887027040383,0.01217171865140254,-0.007848022154435317,-0.05488307847657937,6.6147960972133815,1.7458622194952742,1.0,0.328648179769516,0.0254300126183033,0.0019035536097362638,-0.0007525680302618222,0.000993675324757827,-0.0002979883294162036,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.75729167444343,-0.25695884515935974,-39.555103022415594,-0.18064764277478987,0.02340511120556798,-0.0715295988120924,,0.0,20.27887088321498,5.538393637504779,-2.1326454860827395,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,0.6973881081460316,-0.4496585469743112,-3.1445687633932855,20.27887088321498,5.538393637504779,-2.1326454860827395,50.0,3.0,-0.9249118557025782,-2.0553596793390625,-0.08052705249842296,-0.6913029854321735,,1,6.6147960972133815,1.7458622194952742,50.0,3.0,0.0,-2.0553596793390625,-0.08052705249842296,0.233608870270416,0.6973881081460316,-0.4496585469743112,-3.1445687633932855,-11.17645148377847,12.923634160250902
