t,x,y,z,vx,vy,vz,V,alpha_deg,beta_deg,qbar,yaw_deg,pitch_deg,roll_deg,p,q,r,deltaS_deg,deltaD_deg,throttle,CL,CD,CY,Cl,Cm,Cn,T_N,Ftx_b,Fty_b,Ftz_b,Lthr_b,Mthr_b,Nthr_b,Ftotx_b,Ftoty_b,Ftotz_b,Ltot_b,Mtot_b,Ntot_b,mpc_alpha_cmd_deg,mpc_beta_cmd_deg,mpc_V_ctrl,mpc_alpha_ctrl_deg,mpc_beta_ctrl_deg,mpc_control_update,mpc_horizon,mpc_num_candidates,mpc_pred_dt,mpc_control_period_s,mpc_Q_heading,mpc_Q_pitch,mpc_Q_roll,mpc_Q_alpha,mpc_Q_beta,mpc_deltaS_raw_cmd_deg,mpc_deltaD_raw_cmd_deg,mpc_filter_active,mpc_filter_steady,mpc_filter_alpha,mpc_filter_tau_s,mpc_p_deg_s,mpc_q_deg_s,mpc_r_deg_s,mpc_V,mpc_alpha_deg,mpc_beta_deg,mpc_yaw_cmd_deg,mpc_pitch_cmd_deg,mpc_roll_cmd_deg,mpc_heading_err_deg,mpc_pitch_err_deg,mpc_roll_err_deg,mpc_best_cost,mpc_reused,mpc_deltaS_cmd_deg,mpc_deltaD_cmd_deg,psi_cmd_deg,theta_cmd_deg,roll_cmd_deg,hdg_err_deg,pitch_err_deg,roll_err_deg,p_deg_s,q_deg_s,r_deg_s,altitude_m,LD
21.678000000000598,304.7910928629976,427.43107348362355,45.5041533337543,15.708653054012828,23.760223556351278,2.0036857400378905,24.468505925787618,3.361865998003783,0.13514604850796672,366.7085166221861,49.9531160507723,3.354274420430322,0.4942615217905279,-0.06281831214432691,-0.0011317652732316184,-0.0011151329655020407,1.2603353112759796,0.32725907159689177,1.0,0.22247080504894257,0.021079398815631867,-0.0006062338943593204,-0.0003165323650601531,3.9300076565675735e-05,6.321443975228463e-05,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.6023791005084425,0.10262923177974131,-39.022893397027424,-0.11061958369357734,0.0013476805581854809,0.022091753579421697,,0.0,24.468505925787618,3.3618659980037826,0.13514604850796919,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,1.2603353112759796,0.32725907159689177,1.0,1.0,0.14634146341463414,0.35,-3.5992241620053362,-0.06484537355564218,-0.06389241251917456,24.468505925787618,3.3618659980037826,0.13514604850796919,50.0,3.0,0.021097777152461108,0.046883949227691346,-0.35427442043032187,-0.47316374463807165,,1,1.2603353112759796,0.32725907159689177,50.0,3.0,0.0,0.046883949227691346,-0.35427442043032187,-0.49426152179051996,-3.5992241620053362,-0.06484537355564218,-0.06389241251917456,-45.5041533337543,10.553944493140133
21.684000000000598,304.8853441966367,427.5736371674006,45.516175987205884,15.708460985892875,23.76100203732361,2.003864755317823,24.46897952359503,3.3619454526185564,0.13564604865651866,366.72271234224417,49.95285587274087,3.3538985044878804,0.4725099769483549,-0.06363373172851249,-0.001068666278107941,-0.00037759149315364437,1.2603353112759796,0.32725907159689177,1.0,0.2224763035774231,0.02107953292608261,-0.000607058871537447,-0.00030563292613528935,3.5914987534604115e-05,6.312854066774909e-05,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.6024107787656847,0.10276535162334469,-39.025366507613576,-0.10681465647771886,0.0012316465608635664,0.022062588185870036,,0.0,24.46897952359503,3.3619454526185564,0.13564604865652027,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,1.2603353112759796,0.32725907159689177,1.0,1.0,0.14634146341463414,0.35,-3.6459442627114824,-0.0612300674435389,-0.02163439893774674,24.46897952359503,3.3619454526185564,0.13564604865652027,50.0,3.0,0.021214857266602393,0.04714412725911643,-0.3538985044878804,-0.4512951196817596,,1,1.2603353112759796,0.32725907159689177,50.0,3.0,0.0,0.04714412725911643,-0.3538985044878804,-0.47250997694834496,-3.6459442627114824,-0.0612300674435389,-0.02163439893774674,-45.516175987205884,10.554138194501625
21.690000000000598,304.9795944290516,427.7162054798264,45.528199702528106,15.70828602766911,23.761766395260274,2.0040396386613413,24.469453294180134,3.3620378786357143,0.13582473575291137,366.73691351608863,49.9528497631559,3.3535413688287763,0.45049790709641535,-0.06442039301574981,-0.001010110311034543,0.00035856166988214604,1.2603353112759796,0.32725907159689177,1.0,0.2224830985069275,0.02107970428943634,-0.0006073509575799108,-0.00029457148290948495,3.232770967325173e-05,6.298396895466226e-05,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.6024588952866683,0.10281625030116213,-39.02806712849067,-0.10295281533883392,0.0011086695845368968,0.022012914695780966,,0.0,24.469453294180134,3.3620378786357143,0.13582473575291232,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,1.2603353112759796,0.32725907159689177,1.0,1.0,0.14634146341463414,0.35,-3.6910166343765094,-0.057875057664926184,0.02054407037941005,24.469453294180134,3.3620378786357143,0.13582473575291232,50.0,3.0,0.021217606579840266,0.04715023684408948,-0.3535413688287763,-0.42928030051658084,,1,1.2603353112759796,0.32725907159689177,50.0,3.0,0.0,0.04715023684408948,-0.3535413688287763,-0.45049790709640547,-3.6910166343765094,-0.057875057664926184,0.02054407037941005,-45.528199702528106,10.554374741320272
21.6960000000006,305.0738436637603,427.8587783353713,45.54022445403394,15.708128464987235,23.762516368302308,2.004210106065497,24.46992721828873,3.362140830187279,0.13568237528808247,366.751119566863,49.953097104259506,3.353201602944958,0.4282352300229923,-0.06517789057789852,-0.0009563559788681327,0.0010926725156854811,1.2603353112759796,0.32725907159689177,1.0,0.22249087691307068,0.021079881240725518,-0.0006071132957004011,-0.0002833606387834094,2.8604352967107307e-05,6.278339688653641e-05,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.6025241069209817,0.10278246054711182,-39.030940248825004,-0.099038458433792,0.000981016127583599,0.021943664686725577,,0.0,24.46992721828873,3.3621408301872795,0.1356823752880827,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,1.2603353112759796,0.32725907159689177,1.0,1.0,0.14634146341463414,0.35,-3.7344180476790796,-0.05479516130124655,0.06260552353872031,24.46992721828873,3.3621408301872795,0.1356823752880827,50.0,3.0,0.021106303083219303,0.04690289574048734,-0.35320160294495784,-0.40712892693977665,,1,1.2603353112759796,0.32725907159689177,50.0,3.0,0.0,0.04690289574048734,-0.35320160294495784,-0.4282352300230059,-3.7344180476790796,-0.05479516130124655,0.06260552353872031,-45.54022445403394,10.554655141188693
21.7020000000006,305.1680920059924,428.0013556469781,45.55225021449891,15.707988581552936,23.763251707501954,2.00437592318428,24.470401285348306,3.362251893540688,0.1352194910885566,366.7653301779103,49.953597053636024,3.3528777228889712,0.40573198536163096,-0.06590584210148422,-0.0009076109132106477,0.0018240676770809316,1.2603353112759796,0.32725907159689177,1.0,0.22249948978424072,0.02108007309317589,-0.0006063475739210844,-0.0002720078889594163,2.4765039822031687e-05,6.252413892609991e-05,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.6026016189246457,0.10266424117753543,-39.03395989443107,-0.09507419923455242,0.0008493757874967218,0.0218538971938265,,0.0,24.470401285348302,3.3622518935406887,0.13521949108855466,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,1.2603353112759796,0.32725907159689177,1.0,1.0,0.14634146341463414,0.35,-3.776126597670658,-0.05200227476698457,0.1045113794429693,24.470401285348302,3.3622518935406887,0.13521949108855466,50.0,3.0,0.02088132586378606,0.04640294636396902,-0.35287772288897123,-0.38485065949785735,,1,1.2603353112759796,0.32725907159689177,50.0,3.0,0.0,0.04640294636396902,-0.35287772288897123,-0.40573198536162636,-3.776126597670658,-0.05200227476698457,0.1045113794429693,-45.55225021449891,10.554967660727373
21.7080000000006,305.2623395626409,428.1439373260948,45.56427695545121,15.70786664914977,23.763972164835778,2.004536919649821,24.470875477878668,3.362368758559292,0.1344368720639096,366.77954482547915,49.95434853750987,3.352568208194819,0.3829983283555311,-0.0666038790487819,-0.000863849190710041,0.0025520828986682494,1.2603353112759796,0.32725907159689177,1.0,0.2225085347890854,0.02108026494562626,-0.000605052977334708,-0.00026051459107462587,2.102145174173435e-05,6.220881881556308e-05,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.6026883322703167,0.10246141076672993,-39.03705562281914,-0.09106050624741399,0.0007210084967616145,0.021744526903585693,,0.0,24.470875477878668,3.362368758559292,0.13443687206390914,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,1.2603353112759796,0.32725907159689177,1.0,1.0,0.14634146341463414,0.35,-3.8161211686950107,-0.04949491276347712,0.14622357906120403,24.470875477878668,3.362368758559292,0.13443687206390914,50.0,3.0,0.020543158120557337,0.045651462490127415,-0.35256820819481893,-0.3624551702349663,,1,1.2603353112759796,0.32725907159689177,50.0,3.0,0.0,0.045651462490127415,-0.35256820819481893,-0.3829983283555407,-3.8161211686950107,-0.04949491276347712,0.14622357906120403,-45.56427695545121,10.555300674019827
21.7140000000006,305.3565864422233,428.2865232827209,45.576304647598455,15.707762936557232,23.76467750474158,2.0046929617069207,24.471349786064636,3.362489222921324,0.13333556278020725,366.7937632155545,49.95535026125209,3.3522715690436287,0.3600445272203647,-0.06727164787938168,-0.0008250445053597042,0.0032760833767296422,1.2603353112759796,0.32725907159689177,1.0,0.2225181758403778,0.021080464248657227,-0.000603230728302151,-0.00024890330568580574,1.7201555731633092e-05,6.183744124488476e-05,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.602783119588402,0.10217414219596517,-39.040256033019446,-0.08700525970133166,0.0005900138953385882,0.021615553156085918,,0.0,24.47134978606463,3.3624892229213246,0.13333556278020925,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,1.2603353112759796,0.32725907159689177,1.0,1.0,0.14634146341463414,0.35,-3.854381504378765,-0.04727156806756968,0.1877057508195758,24.47134978606463,3.3624892229213246,0.13333556278020925,50.0,3.0,0.02009238243656455,0.04464973874792122,-0.35227156904362866,-0.3399521447838083,,1,1.2603353112759796,0.32725907159689177,50.0,3.0,0.0,0.04464973874792122,-0.35227156904362866,-0.36004452722036717,-3.854381504378765,-0.04727156806756968,0.1877057508195758,-45.576304647598455,10.555658225342532
21.7200000000006,305.4508327548355,428.42911342544954,45.588333260910616,15.707677701032786,23.765367493981486,2.0048439606663044,24.47182419452328,3.3626111874572,0.13191686103254743,366.8079848871887,49.95660071094929,3.351986320687604,0.33688095042754357,-0.06790882572953826,-0.0007911106398658715,0.00399542098127528,1.2603353112759796,0.32725907159689177,1.0,0.22252808511257172,0.021080680315494538,-0.0006008872296661139,-0.00023715505351755038,1.3493163507506262e-05,6.141019594497811e-05,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.6028795523444166,0.10180349521042631,-39.04350393233244,-0.0829018200241165,0.0004628338717170728,0.0214670399654779,,0.0,24.471824194523276,3.3626111874572002,0.13191686103254566,1.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,1.2603353112759796,0.32725907159689177,1.0,1.0,0.14634146341463414,0.35,-3.8908891059919557,-0.045327300792208446,0.22892075960509148,24.471824194523276,3.3626111874572002,0.13191686103254566,50.0,3.0,0.0195296800728201,0.04339928905071133,-0.35198632068760416,-0.3173512703547203,3.5532559936779387,0,1.2603353112759796,0.32725907159689177,50.0,3.0,0.0,0.04339928905071133,-0.35198632068760416,-0.33688095042754185,-3.8908891059919557,-0.045327300792208446,0.22892075960509148,-45.588333260910616,10.55602009907674
21.7260000000006,305.54507861209544,428.5717076614998,45.600362764925556,15.707611194531728,23.766041909538156,2.0049898598736524,24.472298692354638,3.362732673648089,0.13018232108657704,366.82220951379134,49.95809815098295,3.3517110303947724,0.3135180695874527,-0.06851508244856976,-0.0007618851389408081,0.0047094461242837065,1.2603353112759796,0.32725907159689177,1.0,0.2225380688905716,0.02108086471736431,-0.0005980224232189357,-0.0002253017177638577,9.895902879259624e-06,6.092929569592341e-05,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.6029827314567155,0.10134942094169039,-39.04676494538653,-0.07876132724327352,0.0003394560999300059,0.021299758584346767,,0.0,24.472298692354638,3.3627326736480883,0.13018232108657946,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,1.2603353112759796,0.32725907159689177,1.0,1.0,0.14634146341463414,0.35,-3.9256250572939093,-0.04365280293504663,0.26983138676569934,24.472298692354638,3.3627326736480883,0.13018232108657946,50.0,3.0,0.018855832057673185,0.04190184901705152,-0.35171103039477236,-0.29466223752979204,,1,1.2603353112759796,0.32725907159689177,50.0,3.0,0.0,0.04190184901705152,-0.35171103039477236,-0.3135180695874453,-3.9256250572939093,-0.04365280293504663,0.26983138676569934,-45.600362764925556,10.556401356120224
21.7320000000006,305.63932412710847,428.7143058967762,45.61239312903879,15.70756365729175,23.76670053265486,2.005130659415899,24.47277326446447,3.36285190387666,0.12813375058462367,366.83643664300587,49.95984062904788,3.3514443386904667,0.28996644496202373,-0.06909014642175246,-0.0007371054319954874,0.005417530570534196,1.2603353112759796,0.32725907159689177,1.0,0.2225482016801834,0.02108108264684677,-0.0005946405581198633,-0.00021333964099721635,6.4366836015099975e-06,6.039200783634661e-05,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.603080813997223,0.10081257849403577,-39.05005265158473,-0.07458249827430548,0.00022080413300474294,0.02111275147545099,,0.0,24.47277326446447,3.36285190387666,0.12813375058462576,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,1.2603353112759796,0.32725907159689177,1.0,1.0,0.14634146341463414,0.35,-3.9585737959073026,-0.04223303030950874,0.31040163707471036,24.47277326446447,3.36285190387666,0.12813375058462576,50.0,3.0,0.018071716928456282,0.04015937095212507,-0.35144433869046665,-0.2718947280335726,,1,1.2603353112759796,0.32725907159689177,50.0,3.0,0.0,0.04015937095212507,-0.35144433869046665,-0.28996644496203317,-3.9585737959073026,-0.04223303030950874,0.31040163707471036,-45.61239312903879,10.55677288535612
